loc,state
WAUSAU,WI
WEST ALLIS,WI
BLUEFIELD,WV
CHARLESTON,WV
CLARKSBURG,WV
FAIRMONT,WV
HUNTINGTON,WV
MARTINSBURG,WV
MORGANTOWN,WV
MOUN ISVIHE,WV
MOUNDSVILLE,WV
PARKERSBURG,WV
PETERSBURG,WV
WHEELING,WV
CASPER,WY
CHEYENNE,WY
ROCK SPRINGS,WY
